,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0,0.021403789520263672,0.0027816157296927948,0.0010005474090576173,5.135693366178993e-07,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.22956435843160938,0.17329304908466314,0.7237668611751935,0.7017441541973115,0.6491511781338359,0.40367817683187895,0.37566753988857393,1,-121.98507999999995,-175.66695999999993,-81.42247999999996,-29.037600000000012,-82.72235555555557,-98.16689511111107,48.72645004766649,1
1,0.037105560302734375,0.000975317948944112,0.0015991687774658202,0.0004891819767250902,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1.0083256728152405,0.1982626358887477,0.5720636110734159,0.6882607025107786,0.6291310084825635,0.21587845702805303,0.635574793360006,21,-199.24598999999998,-170.3611725,-126.13852999999995,-30.350322222222214,-87.44266666666668,-122.70773627777776,59.856898813591975,33
2,0.07330570220947266,0.0010284242669089062,0.002599477767944336,0.0004906608712935861,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.6589378338877125,0.21537640594851548,0.6070156228796311,0.6373287598275427,0.7132992106503299,0.3028164330836613,0.5109889984878376,9,-164.58322249999995,-166.72466749999995,-115.83607499999997,-35.308955555555535,-67.59767500000001,-110.0101191111111,52.16854344622098,10
3,0.01830301284790039,0.0006062525819238387,0.000999784469604492,8.064048063892252e-07,,sqrt,1,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.9843424969557957,0.31955970676201906,0.4879149316603488,0.1234018756512888,0.5390798736765068,0.09712277815887356,0.5599608023722673,55,-196.86661912298447,-144.58675791013857,-150.9421947437956,-85.34386183473995,-108.67472311760584,-137.28283134585288,38.22625727909863,71
4,0.03700442314147949,0.0005462612103375337,0.0012001991271972656,0.0003993513050363596,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.157000264785986,0.26425906985522496,0.5282077081472225,0.34253825815466066,0.5370244319635711,0.10300584066693863,0.6387742221520283,48,-213.99599626941767,-156.33759024646326,-139.06549594652472,-64.0091764962018,-109.15935059703357,-136.5135219111282,49.81600321553738,69
5,0.0736879825592041,0.0026437793749143025,0.002799701690673828,0.00040100152044317446,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1.6686924584253608,0.1905005257251995,0.5210633369839314,0.2975010362308158,0.6169986388083359,-0.008525784135415649,0.8439387079794612,140,-264.76097880038003,-172.01054328865237,-141.1713707906164,-68.39391146029365,-90.30320982763457,-147.3280028335154,69.16654330548116,144
6,0.018236780166625978,0.0009374117498309846,0.0009991645812988282,8.176054095975041e-07,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-1.383170858476369,0.1607142531700554,0.4092771346958115,-0.03120030117819117,0.5459694989120997,-0.0596820545753187,0.6910491852595384,180,-236.43438086944053,-178.33982834389494,-174.1214717770626,-100.39562438384218,-107.05030258983605,-159.26832159281525,50.46118335848032,190
7,0.03641042709350586,0.0005006109509296476,0.0010004997253417968,1.2119545962466082e-06,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1.7819452146220698,0.0022103187130573243,0.44085646654853783,-0.14476175719104356,0.45016839739611847,-0.20669435783107995,0.8221536136372796,299,-275.9967847426555,-212.02032937666246,-164.813147920153,-111.45174342232801,-129.63807341393738,-178.78401577514728,59.496417861138,290
8,0.07214846611022949,0.0009660279823133947,0.002998971939086914,0.0006332395414271655,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-1.8858143501438875,0.05036182100279063,0.4081493165759307,-0.12254015143652541,0.46996348202409155,-0.21597597639551996,0.8634896168565124,306,-286.3016416777751,-201.788616655117,-174.45390744607872,-109.28829178059802,-124.97083234943086,-179.36065798179993,62.97912854635176,292
9,0.01900005340576172,0.0006328667481460701,0.001302337646484375,0.0006035090505320868,,sqrt,2,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-1.60579322681563,0.24266626878242537,0.5360459931668533,0.382194918569535,0.6245242048888682,0.03592763171841038,0.8311983610125748,106,-258.52074603237867,-160.92584454642244,-136.7550830541383,-60.148282372353655,-88.52884858064687,-140.97576091718798,68.58046862732853,98
